Work Detected,Trade Company Name,Trade
Acoustical Tile Ceilings,California Drywall Company,Drywall
Ceramic Tiling,"Gino Rinaldi, Inc.",Tile Installer
Cold-Formed Metal Framing,California Drywall Company,Drywall
Domestic Water Piping,"Frank M. Booth, Inc. ",Plumbing
Duct Insulation,"Critchfield Mechanical, Inc. (CMI)",Mechanical Dry
Facility Storm Drainage Piping,"Frank M. Booth, Inc. ",Plumbing
Facility Water Distribution Piping,"Frank M. Booth, Inc. ",Plumbing
Fire-Suppression Standpipes,"H&M Fire Protection, Inc.",Fire Protection
Flexible Ducts,"Critchfield Mechanical, Inc. (CMI)",Mechanical Dry
Glazing,Permasteelisa NA Corp,Glazing
Glazing,"Van Mulder Sheet Metal, Inc.",Misc. Specialties
Gypsum Board,California Drywall Company,Drywall
Hollow Metal Doors and Frames,Minton Door Company,Doors/Frames/Hardware
Hollow Metal Doors and Frames,Performance Contracting Inc.,Door - waterproofing
HVAC Piping Insulation,"Critchfield Mechanical, Inc. (CMI)",Mechanical Wet
Hydronic Piping,"Critchfield Mechanical, Inc. (CMI)",Mechanical Wet
Interior Painting,"George E Masker, Inc.",Painter
Led Interior Lighting,"Decker Electric Co., Inc ",Electrical
Low-Voltage Electrical Power Conductors and Cables,"Decker Electric Co., Inc ",Electrical
Metal Pan Stairs,Westco Iron Works,Structural Steel (Iron Work)
Non-Structural Metal Framing,California Drywall Company,Drywall
Plumbing Piping Insulation,"Frank M. Booth, Inc. ",Plumbing
Raceway and Boxes for Electrical Systems,"Decker Electric Co., Inc ",Electrical
Resilient Base and Accessories,"Gino Rinaldi, Inc.",Tile Installer
Sanitary Waste and Vent Piping,"Frank M. Booth, Inc. ",Plumbing
Steel Decking,Westco Iron Works,Structural Steel (Iron Work)
Structural Steel Framing,Westco Iron Works,Structural Steel (Iron Work)
Thermal Insulation,California Drywall Company,Drywall - Fireproofing
Wet-Pipe Sprinkler Systems,"H&M Fire Protection, Inc.",Fire Protection
